showRange,movieNm,rank,movieCd,openDt,audiAcc
20190218~20190224,극한직업,2,20182530,2019-01-23,15417277
20190218~20190224,증인,3,20185881,2019-02-13,1560256
20190218~20190224,알리타: 배틀 엔젤,4,20188282,2019-02-05,1885346
20190218~20190224,신데렐라:마법 반지의 비밀,5,20195743,2019-02-20,133151
20190218~20190224,해피 데스데이 2 유,6,20195915,2019-02-14,392397
20190218~20190224,드래곤 길들이기 3,7,20186261,2019-01-30,1430717
20190218~20190224,해리포터와 비밀의 방,8,20020222,2002-12-13,79301
20190218~20190224,콜드 체이싱,9,20185576,2019-02-20,78303
20190218~20190224,메리 포핀스 리턴즈,10,20184888,2019-02-14,199519
20190211~20190217,극한직업,1,20182530,2019-01-23,14536241
20190211~20190217,증인,2,20185881,2019-02-13,737138
20190211~20190217,알리타: 배틀 엔젤,3,20188282,2019-02-05,1718018
20190211~20190217,해피 데스데이 2 유,4,20195915,2019-02-14,288142
20190211~20190217,기묘한 가족,5,20174169,2019-02-13,216254
20190211~20190217,드래곤 길들이기 3,6,20186261,2019-01-30,1347674
20190211~20190217,메리 포핀스 리턴즈,7,20184888,2019-02-14,130491
20190211~20190217,뺑반,8,20180868,2019-01-30,1821147
20190211~20190217,명탐정 코난:전율의 악보,9,20162003,2019-02-14,83376
20190211~20190217,극장판 헬로카봇: 옴파로스 섬의 비밀,10,20185478,2019-01-31,558144
20190204~20190210,극한직업,1,20182530,2019-01-23,12838863
20190204~20190210,알리타: 배틀 엔젤,2,20188282,2019-02-05,1256871
20190204~20190210,뺑반,3,20180868,2019-01-30,1732194
20190204~20190210,드래곤 길들이기 3,4,20186261,2019-01-30,1181036
20190204~20190210,극장판 헬로카봇: 옴파로스 섬의 비밀,5,20185478,2019-01-31,523231
20190204~20190210,레고 무비2,6,20185444,2019-02-06,71030
20190204~20190210,말모이,7,20184105,2019-01-09,2848736
20190204~20190210,러브 유어셀프 인 서울,8,20185124,2019-01-26,342366
20190204~20190210,그린 북,9,20184574,2019-01-09,277407
20190204~20190210,가버나움,10,20184896,2019-01-24,87787
